sv,GPS time,Sat.X,Sat.Y,Sat.Z,Psuedo-range,CN0,Pos.X,Pos.Y,Pos.Z,Lat,Lon,Alt
G02,2024-04-13 16:52:19.418698+00:00,14591866.966557112,-5125610.266319888,22056116.95658494,22792039.017682195,47.2,4436894.278006602,3085290.164793741,3376331.6249511335,32.1688570069758,34.813653609570586,67.16203436814249
G03,2024-04-13 16:52:19.418698+00:00,23173479.482240584,-12102446.045672685,4147832.6255944152,24131358.534740735,44.3,4436894.278006602,3085290.164793741,3376331.6249511335,32.1688570069758,34.813653609570586,67.16203436814249
G08,2024-04-13 16:52:19.418698+00:00,24944545.530409124,4723196.893046651,8404084.294735465,21178412.136658646,50.7,4436894.278006602,3085290.164793741,3376331.6249511335,32.1688570069758,34.813653609570586,67.16203436814249
G10,2024-04-13 16:52:19.418698+00:00,-1422253.478673378,17205202.58820848,20295954.526775006,22802966.663672205,36.2,4436894.278006602,3085290.164793741,3376331.6249511335,32.1688570069758,34.813653609570586,67.16203436814249
G21,2024-04-13 16:52:19.418698+00:00,15717806.50748737,1649481.8821763806,21896290.070443552,21732699.375334933,44.1,4436894.278006602,3085290.164793741,3376331.6249511335,32.1688570069758,34.813653609570586,67.16203436814249
G27,2024-04-13 16:52:19.418698+00:00,23134798.299755152,13296734.952176215,-2727530.97753111,22161735.16137114,43.2,4436894.278006602,3085290.164793741,3376331.6249511335,32.1688570069758,34.813653609570586,67.16203436814249
G28,2024-04-13 16:52:19.418698+00:00,5190524.141343622,25780713.095625866,-3750984.782138571,23800201.24902511,38.1,4436894.278006602,3085290.164793741,3376331.6249511335,32.1688570069758,34.813653609570586,67.16203436814249
G32,2024-04-13 16:52:19.418698+00:00,8004524.969909515,17928069.811361097,18190163.98179976,21271716.472752698,42.2,4436894.278006602,3085290.164793741,3376331.6249511335,32.1688570069758,34.813653609570586,67.16203436814249
