,Latitude,Longitude,Altitude
0,32.16885700697576,34.8136536095706,67.16203436627984
1,32.16887497242394,34.81366919670886,57.47221267223358
2,32.16886572625075,34.813655469716856,59.026705861091614
3,32.16886238323748,34.813589002596316,77.97820419631898
4,32.16892206526988,34.81355602272823,72.9059728058055
5,32.168825627099594,34.81370412185076,68.06837762799114
6,32.16882639944225,34.813619775898665,66.01921046990901
7,32.16893716552908,34.813434741101396,73.98195635806769
8,32.16881267101164,34.81359790928101,64.54956431593746
9,32.16885925928999,34.81353065949925,77.34601945523173
10,32.16878446751681,34.81358818147542,46.74953943863511
11,32.168945391943346,34.81344598597316,76.10156650654972
12,32.16885344723293,34.81358172436199,67.41103546414524
13,32.16882947108834,34.81356001595776,46.94450332596898
14,32.168784105796824,34.813440229463616,59.794001776725054
15,32.168810764075964,34.81349478032368,47.42843072209507
16,32.16876204158703,34.81342881480922,74.3717116303742
17,32.16875588295637,34.813445526439324,53.409466713666916
18,32.168794823200294,34.8134023226571,55.89685418922454
19,32.16874314462729,34.813411916361424,48.72747051529586
20,32.1687076830625,34.8134643909295,63.55933908652514
21,32.16876276699997,34.8134070862471,74.20935690496117
22,32.16878147939226,34.813371362023595,43.157102606259286
23,32.16883843398697,34.81330520811356,49.100886908359826
24,32.168710574550474,34.81332779450365,52.71237451117486
25,32.168792108486315,34.81329322670223,53.023969675414264
26,32.168781280191745,34.81320362443369,52.77204407006502
27,32.16407699986936,34.82047872762112,-1491.9044994916767
28,32.16886943949977,34.81310212589781,64.68469275906682
29,32.16401397466579,34.8204591616498,-1464.17774776835
30,32.163952586148284,34.82049142713184,-1469.2433819221333
31,32.16877385443701,34.81333555037036,51.570519098080695
32,32.168807811223,34.8134232203145,65.25933570601046
33,32.16877937612331,34.81335927208368,47.56799093168229
34,32.168806281265574,34.81331984331933,49.547234191559255
35,32.16874310816802,34.813555117496904,79.3769759638235
36,32.168794051537496,34.81342546518938,55.256830129772425
37,32.168686929796884,34.81355727885552,83.24563731532544
38,32.16879389561277,34.813529826414545,76.18285612203181
39,32.16883582755589,34.81338726547662,39.024739891290665
40,32.168832842394856,34.81348307450236,57.736800455488265
41,32.168834651086975,34.81348643106933,57.499058621004224
42,32.16881499840792,34.81354156055174,62.672649311833084
43,32.16884053904902,34.813545665514,48.09214145131409
44,32.16886447014393,34.813598971679845,59.313747574575245
45,32.1688658677753,34.81365606050134,86.9797276193276
46,32.16410688624421,34.820896627540314,-1445.7588376468047
47,32.16405796300102,34.82081822707864,-1463.9483715686947
48,32.1688321092122,34.81359242544331,40.44274044781923
49,32.1670969415614,34.80842757772781,-2882.2033141972497
50,32.16887118724694,34.81355920116511,77.35311771649867
51,32.16883349004905,34.81363383885152,53.71198248490691
52,32.16891618682293,34.805715778830134,-2284.4292377466336
53,32.16884999568298,34.813672301538055,57.94487525895238
54,32.16892251849786,34.805800425440744,-2273.6758693186566
55,32.16889225455996,34.80570712648074,-2282.223844114691
56,32.168856917963886,34.81364140749832,47.13390225637704
