,Latitude,Longitude,Altitude
0,32.168798733913306,34.813661167085165,38.13702098745853
1,32.16880871392566,34.81363680491585,46.07319577317685
2,32.16878423357212,34.813673616545536,36.12870711553842
3,32.16880189009191,34.813656965894474,36.79475736245513
4,32.168828782822786,34.81364757114005,42.10466634389013
5,32.16882545557258,34.81369358165829,30.22863543778658
6,32.1755685905915,34.820398809001546,-898.8470317060128
7,32.17555808619554,34.82042781761696,-892.4887223588303
8,32.17554512572487,34.82042957974942,-883.7070389250293
9,32.17555260495677,34.82044827900685,-894.0410336041823
10,32.16880236604371,34.813595735389676,53.55057163629681
11,32.168758999609864,34.813604234478795,47.852151709608734
12,32.16885188434751,34.813627662383766,45.34552536997944
13,32.168817972850555,34.81362496259515,52.271845425479114
14,32.168760318581974,34.81362597158578,56.2964354660362
15,32.17554320894313,34.820416386311756,-878.9386798813939
16,32.1755504913842,34.820442466518685,-886.5018696272746
17,32.17551772433521,34.82048000002308,-887.3058562334627
18,32.16878228136001,34.81363855119057,52.36970275361091
19,32.168834431435,34.81365247675336,53.535958849824965
