,GPS time,SatPRN,Sat.X,Sat.Y,Sat.Z,Pseudo-Range,CN0,Doppler
1010,2024-04-13 16:51:55.417345280+00:00,G02,N/A,N/A,N/A,22938607.104699932,47.5,-499.8954162597656
1011,2024-04-13 16:51:55.417345280+00:00,G03,N/A,N/A,N/A,24049257.204328503,45.5,-498.4231567382813
1012,2024-04-13 16:51:55.417345280+00:00,G08,N/A,N/A,N/A,21136820.226130527,50.3,173.3470001220703
1013,2024-04-13 16:51:55.417345280+00:00,G10,N/A,N/A,N/A,22795318.58547977,38.3,361.193603515625
1014,2024-04-13 16:51:55.417345280+00:00,G21,N/A,N/A,N/A,21701199.635522965,46.4,-342.4220886230469
1015,2024-04-13 16:51:55.417345280+00:00,G27,N/A,N/A,N/A,22152744.92489801,45.3,540.3980102539062
1016,2024-04-13 16:51:55.417345280+00:00,G28,N/A,N/A,N/A,23871293.217836082,39.8,-504.5303039550781
1017,2024-04-13 16:51:55.417345280+00:00,G32,N/A,N/A,N/A,21449601.523641385,44.0,243.97378540039065
1044,2024-04-13 16:51:55.417345280+00:00,G03,N/A,N/A,N/A,24046913.709886935,36.0,-498.4503479003906
1045,2024-04-13 16:51:55.417345280+00:00,G08,N/A,N/A,N/A,21134468.07638096,39.6,173.31192016601562
1046,2024-04-13 16:51:55.417345280+00:00,G10,N/A,N/A,N/A,22792963.713496234,25.9,361.1805114746094
1047,2024-04-13 16:51:55.417345280+00:00,G27,N/A,N/A,N/A,22150389.459607072,37.2,540.3538818359375
1048,2024-04-13 16:51:55.417345280+00:00,G28,N/A,N/A,N/A,23868947.03606098,24.5,-504.16455078125
1049,2024-04-13 16:51:55.417345280+00:00,G32,N/A,N/A,N/A,21447246.930861335,29.7,243.9559783935547
