sv,GPS time,Sat.X,Sat.Y,Sat.Z,Psuedo-range,CN0,Pos.X,Pos.Y,Pos.Z,Lat,Lon,Alt
G08,2024-04-13 16:53:51.426041+00:00,25023639.6240527,4783845.8041696865,8137692.350133545,21196005.876491368,27.7,4438536.937786619,3085403.903508604,3376938.435060011,32.16670230776335,34.80470319700689,1586.8688293816522
G10,2024-04-13 16:53:51.426041+00:00,-1620081.7744787037,17327678.89277763,20172485.06377191,22839528.10111702,48.3,4438536.937786619,3085403.903508604,3376938.435060011,32.16670230776335,34.80470319700689,1586.8688293816522
G21,2024-04-13 16:53:51.426041+00:00,15757452.408317765,1890975.9571634931,21856363.72227612,21704707.75126088,45.7,4438536.937786619,3085403.903508604,3376938.435060011,32.16670230776335,34.80470319700689,1586.8688293816522
G27,2024-04-13 16:53:51.426041+00:00,23098436.98302593,13303367.38708995,-3014966.440680789,22215117.68794983,37.9,4438536.937786619,3085403.903508604,3376938.435060011,32.16670230776335,34.80470319700689,1586.8688293816522
G32,2024-04-13 16:53:51.426041+00:00,7810468.746056126,17849813.844240233,18350828.84000951,21298089.881690666,48.5,4438536.937786619,3085403.903508604,3376938.435060011,32.16670230776335,34.80470319700689,1586.8688293816522
